RANK,ELO,LEVEL,ALIAS,STREAK,WINS,LOSSES,RATIO,TOTAL,LAST GAME
1,1752,,Amita,+2,96,14,87%,110,2023/04/17
2,1719,,Orangepest,+5,102,14,88%,116,2023/04/16
3,1719,,Mickey,+22,88,19,82%,107,2023/04/01
4,1686,,havoc,+10,157,49,76%,206,2023/04/17
5,1682,,Jibber,+2,108,26,81%,134,2023/04/07
6,1656,,xiaomo,+17,85,28,75%,113,2023/04/17
7,1654,,Frontyard man,+23,118,38,76%,156,2023/03/28
8,1643,,[Peanut] Calyon,+8,198,62,76%,260,2023/04/17
9,1636,,S205,+22,117,34,77%,151,2023/04/17
10,1617,,xFidde,+1,57,11,84%,68,2023/04/13
11,1610,,Charlotte,+20,190,107,64%,297,2023/04/17
12,1606,,[L2P]BartonPL,+10,68,19,78%,87,2023/04/01
13,1588,,you can count on osttruppen!,+5,112,32,78%,144,2023/04/16
14,1587,,Nicko,+17,37,5,88%,42,2023/04/13
15,1571,,elpern,+4,52,10,84%,62,2023/04/14
16,1560,,渣渣，反了他，偶不艹了你爸，气死偶嘞！！,+1,413,215,66%,628,2023/04/15
17,1543,,Treadz,+7,161,64,72%,225,2023/04/17
18,1541,,DumaisTV,-2,110,39,74%,149,2023/04/07
19,1534,,Aimstrong,-2,62,32,66%,94,2023/04/12
20,1528,,Jesus is My Saviour,+2,32,3,91%,35,2023/04/16
21,1526,,Rei,+12,56,18,76%,74,2023/03/31
22,1521,,F3riG,-1,18,2,90%,20,2023/04/09
23,1519,,Dumme Katze,+2,80,26,75%,106,2023/04/16
24,1515,,Backyard man,+8,95,44,68%,139,2023/04/16
25,1510,,Rod,+3,126,51,71%,177,2023/04/15
26,1510,,IncaUna,+6,38,8,83%,46,2023/04/09
27,1505,,Sovereign,+16,73,25,74%,98,2023/04/16
28,1502,,HelpingHans,+4,45,11,80%,56,2023/04/04
29,1494,,Theodosios,+8,22,1,96%,23,2023/04/07
30,1492,,MajorKusaetNogi,+1,59,24,71%,83,2023/04/05
31,1486,,Happycat,+9,31,5,86%,36,2023/04/17
32,1483,,Basset,-1,78,38,67%,116,2023/04/11
33,1481,,momo4sho,+4,33,8,80%,41,2023/04/10
34,1480,,The Sloth,+1,25,5,83%,30,2023/04/05
35,1477,,[Peanut] Caosak,-2,30,8,79%,38,2023/04/03
36,1469,,IntegralSweeD,+1,44,17,72%,61,2023/04/02
37,1467,,tagilla,-1,80,46,63%,126,2023/04/15
38,1465,,JiuMi,+5,48,21,70%,69,2023/04/07
39,1465,,The Angry Dutchman,+1,43,20,68%,63,2023/04/17
40,1453,,Joel,-1,207,149,58%,356,2023/04/15
41,1446,,M0nItor,+2,44,18,71%,62,2023/04/18
42,1445,,Siberian,+8,71,34,68%,105,2023/04/16
43,1445,,FBI OPEN UP,+3,202,106,66%,308,2023/04/17
44,1441,,salmonTA,+3,29,12,71%,41,2023/04/12
45,1440,,Kyeon-woo,-2,132,94,58%,226,2023/04/04
46,1436,,CptLink( jimmy),+10,38,14,73%,52,2023/04/01
47,1429,,Zenabauer,+4,35,14,71%,49,2023/03/31
48,1428,,LemonMint,+3,33,12,73%,45,2023/04/09
49,1427,,Trainzz,+1,67,38,64%,105,2023/04/17
50,1427,,IntegralWojtek,-1,111,59,65%,170,2023/03/28
51,1424,,Panzergrenadierangreifer,+3,17,6,74%,23,2023/04/16
52,1424,,BaByuByu,+5,61,28,69%,89,2023/04/14
53,1424,,Imbbe,-1,40,14,74%,54,2023/04/15
