RANK,ELO,LEVEL,ALIAS,STREAK,WINS,LOSSES,RATIO,TOTAL,LAST GAME
1,1717,,Amita,+15,112,17,87%,129,2023/04/15
2,1691,,DexN,+34,133,27,83%,160,2023/04/11
3,1675,,Jibber,+35,71,7,91%,78,2023/04/08
4,1667,,elpern,+5,79,22,78%,101,2023/04/14
5,1654,,Mickey,+2,92,35,72%,127,2023/04/13
6,1652,,Hallelujah,+5,205,34,86%,239,2023/04/17
7,1646,,Charlotte,+15,122,36,77%,158,2023/04/15
8,1646,,[Peanut] Caosak,+21,58,3,95%,61,2023/04/10
9,1638,,Theodosios,+38,53,2,96%,55,2023/04/16
10,1635,,Jesus is My Saviour,+24,61,9,87%,70,2023/04/16
11,1634,,IncaUna,+1,97,16,86%,113,2023/04/16
12,1626,,havoc,+33,72,5,94%,77,2023/04/17
13,1622,,JLODGE,+8,147,33,82%,180,2023/04/17
14,1614,,S205,+9,138,21,87%,159,2023/04/17
15,1612,,vwvc,+26,34,1,97%,35,2023/04/14
16,1612,,Rei,+3,77,10,89%,87,2023/03/31
17,1611,,ciamgyic,+3,245,96,72%,341,2023/04/13
18,1608,,Frontyard man,+10,91,16,85%,107,2023/03/26
19,1604,,DumaisTV,+2,75,18,81%,93,2023/04/07
20,1599,,MinigunSC,+20,126,39,76%,165,2023/04/14
21,1594,,BaByuByu,+14,50,7,88%,57,2023/04/14
22,1590,,Jae,+4,138,40,78%,178,2023/04/18
23,1577,,Nicko,+18,38,3,93%,41,2023/04/10
24,1577,,Jokren,+5,73,10,88%,83,2023/04/15
25,1576,,F3riG,+23,27,1,96%,28,2023/04/08
26,1575,,MajorKusaetNogi,+5,63,12,84%,75,2023/04/08
27,1574,,Vesat Eiwalter,-1,150,38,80%,188,2023/04/13
28,1572,,Orangepest,+4,71,20,78%,91,2023/04/15
29,1572,,xFidde,+27,27,0,100%,27,2023/04/10
30,1570,,The101stAirBorne,+2,70,9,89%,79,2023/04/17
31,1569,,[L2P]BartonPL,+3,64,9,88%,73,2023/04/09
32,1563,,The Angry Dutchman,+3,49,9,84%,58,2023/04/17
33,1545,,﹌夕陽の余溫づ,+1,57,11,84%,68,2023/04/09
34,1537,,Ryan Parsons,+3,90,23,80%,113,2023/04/18
35,1536,,Jesulin,+21,21,0,100%,21,2023/04/11
36,1530,,Siberian,+15,55,11,83%,66,2023/04/16
37,1530,,MIRASSOL_БЕСЧЕСТНЫЙ,+10,127,34,79%,161,2023/04/09
38,1528,,UMirinBrah?,+9,65,14,82%,79,2023/04/12
39,1525,,Backyard man,+16,85,27,76%,112,2023/04/17
40,1525,,FloatingC,+20,83,17,83%,100,2023/04/12
41,1523,,老北京鸡肉卷OldBeijingChickenTwister,+1,84,33,72%,117,2023/04/16
42,1503,,Dumme Katze,+6,42,10,81%,52,2023/04/07
43,1502,,JiuMi,+10,36,6,86%,42,2023/04/08
44,1502,,Rod,+3,116,42,73%,158,2023/04/11
45,1500,,Estocade Gaming YT,+9,21,2,91%,23,2023/03/26
46,1500,,Souless and Heartless Monkey Man,+10,34,5,87%,39,2023/04/09
47,1495,,The Sloth,+8,57,14,80%,71,2023/04/07
48,1487,,Stryker,+6,125,53,70%,178,2023/04/13
49,1486,,Outbalz the moon bunny,+5,112,68,62%,180,2023/04/09
50,1481,,DarkAlric,+2,100,41,71%,141,2023/04/18
51,1479,,night_raven0203,+7,39,5,89%,44,2023/04/15
52,1479,,OMGPOP!,+24,32,4,89%,36,2023/04/08
53,1475,,Isildur,-1,29,5,85%,34,2023/04/08
54,1472,,DIRTY_FISHERMAN,+2,53,14,79%,67,2023/04/12
55,1471,,CptLink( jimmy),+2,52,22,70%,74,2023/04/08
56,1470,,a4039,+11,60,15,80%,75,2023/04/14
57,1469,,IntegralSweeD,+4,63,23,73%,86,2023/04/17
58,1465,,Jade Buddha,+4,64,18,78%,82,2023/04/16
59,1465,,Ra11,+1,30,6,83%,36,2023/04/14
60,1465,,PunisHer1638,+6,40,11,78%,51,2023/04/16
61,1462,,momo4sho,+17,32,4,89%,36,2023/04/15
62,1460,,salmonTA,+16,16,0,100%,16,2023/04/13
63,1459,,rrrr4201,+14,33,2,94%,35,2023/04/17
64,1458,,StephennJF,+1,35,5,88%,40,2023/04/17
65,1457,,odung,+4,63,22,74%,85,2023/04/17
66,1454,,fiadaputa,+20,64,23,74%,87,2023/04/12
