RANK,ELO,LEVEL,ALIAS,STREAK,WINS,LOSSES,RATIO,TOTAL,LAST GAME
1,1781,,หลวงปู่เณร,+58,233,46,84%,279,2023/04/08
2,1768,,Mickey,+11,82,18,82%,100,2023/03/26
3,1731,,Amita,+11,156,23,87%,179,2023/04/17
4,1718,,Rei,+4,126,9,93%,135,2023/03/31
5,1655,,ashilrye,+7,258,38,87%,296,2023/04/17
6,1654,,Jibber,+3,95,14,87%,109,2023/04/08
7,1646,,Estocade Gaming YT,+43,106,31,77%,137,2023/04/16
8,1621,,Hallelujah,+42,175,27,87%,202,2023/04/17
9,1617,,Jesus is My Saviour,+23,60,3,95%,63,2023/04/10
10,1609,,Frontyard man,+1,70,15,82%,85,2023/03/28
11,1575,,night_raven0203,+27,185,66,74%,251,2023/04/17
12,1569,,Treadz,+16,351,100,78%,451,2023/04/14
13,1567,,EL ZULU,+15,48,11,81%,59,2023/04/17
14,1566,,F3riG,+4,51,10,84%,61,2023/04/16
15,1565,,Backyard man,+18,67,6,92%,73,2023/03/28
16,1561,,Charlotte,+6,260,105,71%,365,2023/04/17
17,1561,,elpern,+4,69,21,77%,90,2023/04/17
18,1557,,FloatingC,+12,85,18,83%,103,2023/03/28
19,1552,,xFidde,+16,69,21,77%,90,2023/04/15
20,1551,,BrainSplat | HulkSMASH,+25,55,10,85%,65,2023/04/14
21,1541,,havoc,-1,111,24,82%,135,2023/04/17
22,1538,,Orangepest,+3,64,17,79%,81,2023/04/17
23,1535,,S205,+2,122,25,83%,147,2023/04/17
24,1520,,The101stAirBorne,+7,81,23,78%,104,2023/04/17
25,1513,,momo4sho,-2,107,31,78%,138,2023/04/15
26,1512,,vwvc,+1,42,13,76%,55,2023/04/17
27,1507,,W00tLeLBrrrrrrrrrrrrrr,+11,88,25,78%,113,2023/04/10
28,1507,,[EPIC]gogy,+12,136,54,72%,190,2023/04/12
29,1493,,[Peanut] Caosak,+1,38,11,78%,49,2023/04/16
30,1491,,Theodosios,+3,50,14,78%,64,2023/04/07
31,1478,,nub,+6,21,3,88%,24,2023/03/28
32,1476,,DumaisTV,-1,64,19,77%,83,2023/04/11
33,1475,,FBI OPEN UP,+9,241,153,61%,394,2023/04/17
34,1474,,°NOSMarkov.-,-2,55,22,71%,77,2023/03/30
35,1472,,🐼🐼Kashll🐼🐼,+7,197,111,64%,308,2023/04/17
36,1470,,odung,+2,35,10,78%,45,2023/04/16
