RANK,ELO,LEVEL,ALIAS,STREAK,WINS,LOSSES,RATIO,TOTAL,LAST GAME
1,1724,,Amita,+28,94,19,83%,113,2023/04/17
2,1640,,Jibber,+23,98,21,82%,119,2023/04/08
3,1595,,Rei,+7,80,14,85%,94,2023/03/31
4,1593,,elpern,-1,60,15,80%,75,2023/04/17
5,1583,,Theodosios,+2,41,7,85%,48,2023/04/16
6,1557,,Happycat,+22,58,16,78%,74,2023/04/17
7,1552,,havoc,+8,103,42,71%,145,2023/04/17
8,1548,,xFidde,+4,65,19,77%,84,2023/04/11
9,1546,,หลวงปู่เณร,+1,71,19,79%,90,2023/04/10
10,1545,,S205,-2,76,20,79%,96,2023/04/17
11,1526,,BrainSplat | HulkSMASH,+8,64,26,71%,90,2023/04/13
12,1526,,[Peanut] Caosak,+1,23,3,88%,26,2023/04/06
13,1519,,F3riG,+7,23,2,92%,25,2023/03/31
14,1519,,you can count on osttruppen!,+2,144,54,73%,198,2023/04/16
15,1508,,[L2P]BartonPL,+7,38,9,81%,47,2023/04/12
16,1506,,DumaisTV,-3,74,22,77%,96,2023/04/11
17,1506,,oziligath,+3,91,44,67%,135,2023/04/17
18,1503,,渣渣，反了他，偶不艹了你爸，气死偶嘞！！,-2,99,43,70%,142,2023/04/13
19,1502,,momo4sho,-1,47,15,76%,62,2023/04/15
20,1501,,Luvnest,+1,46,18,72%,64,2023/04/17
21,1484,,Frontyard man,-1,34,8,81%,42,2023/03/28
22,1479,,Miguel,+9,15,1,94%,16,2023/04/08
23,1479,,UMirinBrah?,+4,34,8,81%,42,2023/04/12
24,1474,,Jesus is My Saviour,+11,22,2,92%,24,2023/04/15
25,1469,,ashilrye,+8,37,12,76%,49,2023/04/17
26,1467,,Charlotte,+2,79,38,68%,117,2023/04/17
27,1467,,MajorKusaetNogi,+7,33,6,85%,39,2023/04/01
28,1466,,Trainzz,+9,105,56,65%,161,2023/04/11
29,1465,,星奏の女仆,+7,36,10,78%,46,2023/04/15
30,1463,,Mordo47,+2,23,5,82%,28,2023/04/13
31,1460,,Backyard man,+2,73,35,68%,108,2023/04/16
32,1458,,vwvc,-1,62,33,65%,95,2023/04/17
33,1458,,BaByuByu,+12,34,7,83%,41,2023/04/14
34,1457,,The Sloth,+3,70,32,69%,102,2023/04/01
35,1455,,老北京鸡肉卷OldBeijingChickenTwister,+16,81,54,60%,135,2023/04/04
36,1452,,Tiefflieger,+2,39,12,76%,51,2023/04/09
37,1451,,Siberian,+8,62,23,73%,85,2023/04/16
38,1451,,nub,+5,49,22,69%,71,2023/04/17
39,1450,,Jesulin,+3,22,6,79%,28,2023/04/13
40,1449,,Imperial Dane,+1,71,38,65%,109,2023/04/17
41,1449,,Mickey,-6,96,50,66%,146,2023/04/10
42,1447,,TarNationZ,+5,17,2,89%,19,2023/04/01
43,1439,,[GCDC]RwiAng,-2,33,13,72%,46,2023/03/25
44,1439,,PutPut - AusarTheVile,+2,62,23,73%,85,2023/04/17
45,1435,,Toiletguy,+5,76,35,68%,111,2023/04/16
46,1432,,Imperates,+15,55,28,66%,83,2023/03/30
47,1426,,Hanwoomul,-3,34,11,76%,45,2023/04/17
48,1425,,TheChosen,+5,65,30,68%,95,2023/04/05
49,1422,,[Peanut] Calyon,+12,27,5,84%,32,2023/04/04
50,1422,,Nicko,+1,26,6,81%,32,2023/04/13
51,1418,,CUBYX,+8,127,83,60%,210,2023/04/04
52,1417,,The101stAirBorne,-2,75,42,64%,117,2023/04/17
53,1417,,salmonTA,+6,46,25,65%,71,2023/04/17
54,1416,,[PAX Sqd.] PAX AJAX,-1,42,24,64%,66,2023/04/17
55,1416,,[EPIC]gogy,+2,103,57,64%,160,2023/04/16
56,1416,,Make a wish™ |,+2,35,18,66%,53,2023/04/15
57,1413,,a hell on earth,+15,45,16,74%,61,2023/04/09
58,1412,,Dumme Katze,+5,28,13,68%,41,2023/04/16
59,1405,,Chaos,+1,193,147,57%,340,2023/04/15
60,1404,,bibotot1995,-2,119,97,55%,216,2023/04/17
61,1401,,DaPopeCOH,+4,38,20,66%,58,2023/04/07
62,1399,,Aimstrong,-1,42,26,62%,68,2023/04/05
63,1399,,Imbbe,+1,41,20,67%,61,2023/04/09
64,1398,,lattouf,+4,23,7,77%,30,2023/04/17
65,1398,,JiuMi,+7,33,11,75%,44,2023/04/05
66,1395,,Riftwalker,+3,36,15,71%,51,2023/04/17
67,1395,,The Angry Dutchman,+6,40,16,71%,56,2023/04/14
68,1394,,FK9DD,+7,126,102,55%,228,2023/04/17
69,1392,,Equuz,+2,18,4,82%,22,2023/04/04
70,1392,,小芙丽娅,+3,64,33,66%,97,2023/04/16
71,1391,,night_raven0203,-1,32,15,68%,47,2023/04/06
72,1390,,PanzerGrenadier,+7,59,36,62%,95,2023/04/15
73,1390,,Jelly Bean,+1,33,13,72%,46,2023/04/11
74,1390,,DexN,+1,81,44,65%,125,2023/04/15
75,1387,,✠ Kaiser Friedrich ✠,-1,22,10,69%,32,2023/04/06
76,1386,,W00tLeLBrrrrrrrrrrrrrr,+4,27,7,79%,34,2023/04/18
77,1385,,포스트정윤종,+1,58,34,63%,92,2023/04/09
78,1384,,Inverse,+14,40,14,74%,54,2023/04/16
79,1382,,K. Ronaldo,+2,56,26,68%,82,2023/03/25
80,1380,,Dzindzu,-1,28,13,68%,41,2023/03/23
81,1379,,WordBearers[Borgore],+7,84,57,60%,141,2023/04/17
82,1378,,Luckeeey,+1,91,63,59%,154,2023/04/18
83,1374,,MightyMouseJHM,+4,30,10,75%,40,2023/04/18
84,1373,,PunisHer1638,+17,21,6,78%,27,2023/04/09
85,1373,,Kuun-Lan Kiith Somtaaw,+5,15,2,88%,17,2023/03/31
86,1373,,Leiarde,+4,47,26,64%,73,2023/04/14
87,1372,,sheenhochul,-3,166,102,62%,268,2023/04/17
88,1371,,Enemy,+3,62,41,60%,103,2023/04/17
89,1371,,vegetabledoge,-1,40,25,62%,65,2023/04/17
90,1367,,Clororaa,+1,10,1,91%,11,2023/03/30
91,1367,,Finndeed,+8,28,15,65%,43,2023/04/04
92,1366,,Estocade Gaming YT,+2,74,39,65%,113,2023/04/16
93,1365,,SOLID MATTIC,+4,97,74,57%,171,2023/04/17
94,1364,,fiadaputa,-1,89,61,59%,150,2023/04/18
95,1363,,Orangepest,+3,16,4,80%,20,2023/04/09
96,1362,,tagilla,+3,57,33,63%,90,2023/04/04
97,1360,,Outbalz the moon bunny,+4,25,10,71%,35,2023/04/09
98,1359,,MIRASSOL_БЕСЧЕСТНЫЙ,+3,72,44,62%,116,2023/04/03
99,1359,,Dullahan,+2,66,37,64%,103,2023/04/17
100,1359,,miragefla,+3,17,7,71%,24,2023/04/15
101,1357,,DD響,+4,13,3,81%,16,2023/04/13
102,1357,,Emperion,+3,27,10,73%,37,2023/04/17
103,1356,,BananaInPajamas,+4,36,15,71%,51,2023/04/16
104,1356,,Niklas,-1,12,2,86%,14,2023/04/09
105,1355,,Twitch Yunicone≠≠Pony,+15,40,20,67%,60,2023/04/08
106,1355,,Vasto,+4,77,43,64%,120,2023/04/18
107,1346,,bigfriendlybert,+1,12,2,86%,14,2023/03/22
108,1345,,sprout new,-1,47,31,60%,78,2023/04/11
109,1343,,CheeseTonkatsu,+3,19,9,68%,28,2023/03/30
110,1341,,.:PSG:. RedxWings,+3,10,1,91%,11,2023/04/15
111,1341,,AGameAnx,+3,33,11,75%,44,2023/04/17
112,1340,,Sunny,+8,10,1,91%,11,2023/04/11
113,1339,,Hybris,-2,31,13,70%,44,2023/04/07
114,1338,,Arricio,+1,72,49,60%,121,2023/04/17
115,1336,,Sovereign,+1,18,5,78%,23,2023/03/31
116,1336,,herby7,+2,255,199,56%,454,2023/04/17
117,1335,,JZuna,+3,32,14,70%,46,2023/03/29
118,1334,,suomenpaskin,-1,53,27,66%,80,2023/04/04
119,1334,,CeerEd,+5,93,73,56%,166,2023/03/31
120,1331,,-Rλ҉inyCloudCore,+8,9,1,90%,10,2023/04/08
121,1329,,BlueSkidrow,-1,15,7,68%,22,2023/04/07
122,1326,,Hodolf,+1,87,48,64%,135,2023/04/17
123,1325,,快去西天请！如来佛祖,+4,113,90,56%,203,2023/04/10
124,1325,,hireling,+3,67,48,58%,115,2023/04/16
125,1324,,Viklas,+6,14,3,82%,17,2023/04/17
126,1324,,Snoopa,+2,83,54,61%,137,2023/04/14
127,1324,,Dunkerque,+8,20,7,74%,27,2023/04/15
128,1323,,-NSO- Hon3ynuts,+4,32,16,67%,48,2023/03/31
129,1323,,RTX4090,+5,17,5,77%,22,2023/03/26
130,1323,,Dezman,-1,40,22,65%,62,2023/04/13
131,1321,,BiliBilI_24073386_狐狸,+1,9,2,82%,11,2023/04/17
